Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A14006_001,SE_A10060_001,SE_A10060_002,SE_A10060_003
47157009800,14000US47157009800,"Census Tract 98, Shelby County, Tennessee","Census Tract 98, Shelby County, Tennessee",tn,140,0,ACSSF,8113,,,,,47,157,,,,9800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3309,2918,2207,405,0,41,0,141,124,391,291,0,0,0,0,100,0,32917,1375,785,590
47157009900,14000US47157009900,"Census Tract 99, Shelby County, Tennessee","Census Tract 99, Shelby County, Tennessee",tn,140,0,ACSSF,8114,,,,,47,157,,,,9900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6808,6276,2203,3833,0,13,0,0,227,532,126,0,0,0,0,363,43,22322,2604,1207,1397
47157010000,14000US47157010000,"Census Tract 100, Shelby County, Tennessee","Census Tract 100, Shelby County, Tennessee",tn,140,0,ACSSF,8115,,,,,47,157,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8398,8398,658,7725,15,0,0,0,0,0,0,0,0,0,0,0,0,26777,2602,1768,834
47157010110,14000US47157010110,"Census Tract 101.10, Shelby County, Tennessee","Census Tract 101.10, Shelby County, Tennessee",tn,140,0,ACSSF,8116,,,,,47,157,,,,10110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7683,7541,904,6600,15,0,0,0,22,142,0,0,0,0,0,142,0,26299,2430,1148,1282
47157010120,14000US47157010120,"Census Tract 101.20, Shelby County, Tennessee","Census Tract 101.20, Shelby County, Tennessee",tn,140,0,ACSSF,8117,,,,,47,157,,,,10120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6497,6497,684,5391,37,212,0,0,173,0,0,0,0,0,0,0,0,22418,1974,868,1106
47157010210,14000US47157010210,"Census Tract 102.10, Shelby County, Tennessee","Census Tract 102.10, Shelby County, Tennessee",tn,140,0,ACSSF,8118,,,,,47,157,,,,10210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7256,7186,546,6640,0,0,0,0,0,70,42,28,0,0,0,0,0,31008,2096,1322,774
47157010220,14000US47157010220,"Census Tract 102.20, Shelby County, Tennessee","Census Tract 102.20, Shelby County, Tennessee",tn,140,0,ACSSF,8119,,,,,47,157,,,,10220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7231,7124,1198,5851,0,35,0,0,40,107,0,68,13,0,0,0,26,33663,2563,1591,972
47157010300,14000US47157010300,"Census Tract 103, Shelby County, Tennessee","Census Tract 103, Shelby County, Tennessee",tn,140,0,ACSSF,8120,,,,,47,157,,,,10300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1747,1747,0,1700,0,0,0,0,47,0,0,0,0,0,0,0,0,21741,564,377,187
47157010410,14000US47157010410,"Census Tract 104.10, Shelby County, Tennessee","Census Tract 104.10, Shelby County, Tennessee",tn,140,0,ACSSF,8121,,,,,47,157,,,,10410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884,412,276,114,0,0,0,0,22,472,48,158,0,0,0,266,0,34242,306,225,81
47157010420,14000US47157010420,"Census Tract 104.20, Shelby County, Tennessee","Census Tract 104.20, Shelby County, Tennessee",tn,140,0,ACSSF,8122,,,,,47,157,,,,10420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,104,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,9856,49,49,0
47157010500,14000US47157010500,"Census Tract 105, Shelby County, Tennessee","Census Tract 105, Shelby County, Tennessee",tn,140,0,ACSSF,8123,,,,,47,157,,,,10500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3022,2833,401,2331,9,38,0,0,54,189,60,19,0,0,0,25,85,23961,917,196,721
47157010610,14000US47157010610,"Census Tract 106.10, Shelby County, Tennessee","Census Tract 106.10, Shelby County, Tennessee",tn,140,0,ACSSF,8124,,,,,47,157,,,,10610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6362,4799,496,4027,0,0,0,85,191,1563,558,0,0,0,0,1005,0,33871,2364,1217,1147
47157010620,14000US47157010620,"Census Tract 106.20, Shelby County, Tennessee","Census Tract 106.20, Shelby County, Tennessee",tn,140,0,ACSSF,8125,,,,,47,157,,,,10620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3628,3457,264,3184,9,0,0,0,0,171,25,47,0,0,0,99,0,21477,1253,309,944
47157010630,14000US47157010630,"Census Tract 106.30, Shelby County, Tennessee","Census Tract 106.30, Shelby County, Tennessee",tn,140,0,ACSSF,8126,,,,,47,157,,,,10630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,2982,87,2835,0,0,0,0,60,418,142,0,42,0,0,146,88,25872,1255,462,793
47157010710,14000US47157010710,"Census Tract 107.10, Shelby County, Tennessee","Census Tract 107.10, Shelby County, Tennessee",tn,140,0,ACSSF,8127,,,,,47,157,,,,10710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4357,3769,957,2256,40,436,0,15,65,588,276,73,0,0,0,200,39,55160,1485,1287,198
47157010720,14000US47157010720,"Census Tract 107.20, Shelby County, Tennessee","Census Tract 107.20, Shelby County, Tennessee",tn,140,0,ACSSF,8128,,,,,47,157,,,,10720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3611,3576,551,3017,0,0,0,0,8,35,35,0,0,0,0,0,0,33418,1548,561,987
47157010810,14000US47157010810,"Census Tract 108.10, Shelby County, Tennessee","Census Tract 108.10, Shelby County, Tennessee",tn,140,0,ACSSF,8129,,,,,47,157,,,,10810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6120,6094,615,5302,0,164,0,0,13,26,26,0,0,0,0,0,0,40588,2098,1077,1021
