AggTypeName,AggValueCode,AggValueName,PropertyTypeName,DateYyyyMm,PriceTier1,PriceTier3,PriceTier5,HPISA,HPINorm2000,yyyymm,hpi
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200609,83535,151045,356617,164328,117.3573365834222,200609,164328
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200610,82973,150067,354502,163813,116.55804730108386,200610,163813
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200611,81737,148111,350397,162927,114.976311142527,200611,162927
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200612,81009,148294,350667,162466,114.86134585527894,200612,162466
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200701,79717,147143,348834,161558,113.86058907572784,200701,161558
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200702,78255,146219,345557,160148,112.81108658720602,200702,160148
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200703,76300,144531,340817,157914,111.06052405490902,200703,157914
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200704,74169,143745,338350,155668,109.86748445857269,200704,155668
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200705,71818,142274,335247,152765,108.28139271834996,200705,152765
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200706,69469,141030,333341,149675,106.85130052703255,200706,149675
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200707,66369,139443,330587,146444,104.85698387895435,200707,146444
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200708,62540,137049,325689,142938,102.08665417033215,200708,142938
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200709,59332,134949,322866,139571,99.892864438002292,200709,139571
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200710,55405,131551,316830,135571,96.560095924212007,200710,135571
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200711,51460,127700,310347,131650,92.974006922686158,200711,131650
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200712,48009,124832,305766,127557,90.010343884684289,200712,127557
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200801,44800,121362,299159,123555,86.745809638687845,200801,123555
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200802,42104,118445,293096,119589,83.827605288787026,200802,119589
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200803,39954,115674,287614,115886,81.193505561359416,200803,115886
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200804,38170,113909,283964,112494,79.223910186266096,200804,112494
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200805,36785,112393,281608,109708,77.697953266588712,200805,109708
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200806,35728,111592,281861,107388,76.660522523942305,200806,107388
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200807,34441,110209,280821,104981,75.241824801542833,200807,104981
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200808,32681,107619,276855,102076,72.951710258263162,200808,102076
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200809,31279,105994,274828,99389.3,71.180347598389176,200809,99389.3
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200810,29465,102999,269160,96100.8,68.478283080585541,200810,96100.8
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200811,27607,99382,262068,92762.2,65.498783340785707,200811,92762.2
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200812,26160,97079,257195,89889.8,63.294140151015597,200812,89889.8
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200901,24816,94373,250958,87196.5,60.981983801693971,200901,87196.5
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200902,23787,92125,245433,84665.8,59.099283480552842,200902,84665.8
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200903,23143,90124,241222,82549.7,57.692879227468588,200903,82549.7
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200904,22824,89386,239582,81127.1,57.137881056986082,200904,81127.1
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200905,22688,88826,238987,80212.9,56.856259866639761,200905,80212.9
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200906,22665,88535,239039,79490.6,56.730386654560746,200906,79490.6
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200907,22718,88535,240237,79382.1,56.854958545017972,200907,79382.1
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200908,22690,88060,240202,79393.9,56.735959466469986,200908,79393.9
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200909,22862,88192,240856,79596,56.899979885372652,200909,79596
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200910,22981,88181,241038,80072,57.02372776056167,200910,80072
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200911,23000,87460,239890,80391.5,56.797621537721298,200911,80391.5
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,200912,22903,86743,238061,80148.3,56.348148893386586,200912,80148.3
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201001,22797,85754,236150,80057.8,55.817530509907229,201001,80057.8
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201002,23029,86044,237403,80549.9,56.108291746074158,201002,80549.9
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201003,23603,86804,240518,81317.6,56.884896479189386,201003,81317.6
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201004,24242,88268,244654,82075.5,57.994515561522533,201004,82075.5
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201005,24632,88903,246671,82329.3,58.541139186491897,201005,82329.3
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201006,24840,89199,247777,82075.9,58.752274172030269,201006,82075.9
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201007,24796,88766,248144,81736.2,58.59397742272678,201007,81736.2
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201008,24625,87947,247656,81357.9,58.202124904347862,201008,81357.9
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201009,24582,87328,247588,81085.4,57.909017355908162,201009,81085.4
