Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A14006_001,SE_A10060_001,SE_A10060_002,SE_A10060_003
26001000100,14000US26001000100,"Census Tract 1, Alcona County, Michigan","Census Tract 1, Alcona County, Michigan",mi,140,0,ACSSF,3768,,,,,26,1,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1793,1793,1782,0,1,6,0,0,4,0,0,0,0,0,0,0,0,47824,887,842,45
26001970100,14000US26001970100,"Census Tract 9701, Alcona County, Michigan","Census Tract 9701, Alcona County, Michigan",mi,140,0,ACSSF,3769,,,,,26,1,,,,970100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2354,2321,2252,9,3,27,0,6,24,33,28,0,5,0,0,0,0,39712,1120,975,145
26001970400,14000US26001970400,"Census Tract 9704, Alcona County, Michigan","Census Tract 9704, Alcona County, Michigan",mi,140,0,ACSSF,3770,,,,,26,1,,,,970400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2851,2817,2758,1,7,0,0,0,51,34,9,0,0,0,0,5,20,36744,1232,1038,194
26001970500,14000US26001970500,"Census Tract 9705, Alcona County, Michigan","Census Tract 9705, Alcona County, Michigan",mi,140,0,ACSSF,3771,,,,,26,1,,,,970500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2063,2006,1967,2,13,3,0,0,21,57,57,0,0,0,0,0,0,32373,1017,918,99
26001970600,14000US26001970600,"Census Tract 9706, Alcona County, Michigan","Census Tract 9706, Alcona County, Michigan",mi,140,0,ACSSF,3772,,,,,26,1,,,,970600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1596,1580,1528,9,0,0,0,0,43,16,14,0,2,0,0,0,0,42417,751,664,87
26001990000,14000US26001990000,"Census Tract 9900, Alcona County, Michigan","Census Tract 9900, Alcona County, Michigan",mi,140,0,ACSSF,3773,,,,,26,1,,,,990000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
26003000100,14000US26003000100,"Census Tract 1, Alger County, Michigan","Census Tract 1, Alger County, Michigan",mi,140,0,ACSSF,3774,,,,,26,3,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3778,3768,3398,55,172,0,0,0,143,10,6,0,0,4,0,0,0,37430,1516,1203,313
26003000200,14000US26003000200,"Census Tract 2, Alger County, Michigan","Census Tract 2, Alger County, Michigan",mi,140,0,ACSSF,3775,,,,,26,3,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2856,2822,2559,26,83,0,0,0,154,34,34,0,0,0,0,0,0,38728,1174,1046,128
26003000300,14000US26003000300,"Census Tract 3, Alger County, Michigan","Census Tract 3, Alger County, Michigan",mi,140,0,ACSSF,3776,,,,,26,3,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2882,2807,2142,584,41,11,0,0,29,75,47,0,0,0,0,22,6,42772,919,837,82
26003990000,14000US26003990000,"Census Tract 9900, Alger County, Michigan","Census Tract 9900, Alger County, Michigan",mi,140,0,ACSSF,3777,,,,,26,3,,,,990000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
