Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A14006_001,SE_A10060_001,SE_A10060_002,SE_A10060_003
26053950100,14000US26053950100,Census Tract 9501,"Census Tract 9501, Gogebic County, Michigan",mi,140,0,ACSSF,4262,,,,,26,53,,,,950100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2226,2135,1346,349,325,29,2,0,84,91,63,0,0,0,0,0,28,42500,658,519,139
26053950200,14000US26053950200,Census Tract 9502,"Census Tract 9502, Gogebic County, Michigan",mi,140,0,ACSSF,4263,,,,,26,53,,,,950200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2117,2102,2032,19,0,16,0,0,35,15,14,0,0,0,0,0,1,37295,1031,859,172
26053950300,14000US26053950300,Census Tract 9503,"Census Tract 9503, Gogebic County, Michigan",mi,140,0,ACSSF,4264,,,,,26,53,,,,950300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2423,2400,2355,15,3,19,0,0,8,23,6,0,9,0,0,1,7,37193,1115,865,250
26053950400,14000US26053950400,Census Tract 9504,"Census Tract 9504, Gogebic County, Michigan",mi,140,0,ACSSF,4265,,,,,26,53,,,,950400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,955,946,906,6,7,7,0,0,20,9,2,0,0,1,0,1,5,52865,381,376,5
26053950500,14000US26053950500,Census Tract 9505,"Census Tract 9505, Gogebic County, Michigan",mi,140,0,ACSSF,4266,,,,,26,53,,,,950500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2081,2063,1902,145,16,0,0,0,0,18,12,0,0,0,0,6,0,27052,1155,836,319
26053950600,14000US26053950600,Census Tract 9506,"Census Tract 9506, Gogebic County, Michigan",mi,140,0,ACSSF,4267,,,,,26,53,,,,950600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2907,2850,2792,6,30,10,0,0,12,57,34,0,0,0,0,4,19,34191,1442,957,485
26053950700,14000US26053950700,Census Tract 9507,"Census Tract 9507, Gogebic County, Michigan",mi,140,0,ACSSF,4268,,,,,26,53,,,,950700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2352,2345,2237,42,2,0,10,0,54,7,7,0,0,0,0,0,0,57188,962,812,150
26053990000,14000US26053990000,Census Tract 9900,"Census Tract 9900, Gogebic County, Michigan",mi,140,0,ACSSF,4269,,,,,26,53,,,,990000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
26055550101,14000US26055550101,Census Tract 5501.01,"Census Tract 5501.01, Grand Traverse County, Michigan",mi,140,0,ACSSF,4270,,,,,26,55,,,,550101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5940,5848,5632,71,0,9,0,29,107,92,74,0,0,0,0,0,18,81336,2382,1891,491
26055550102,14000US26055550102,Census Tract 5501.02,"Census Tract 5501.02, Grand Traverse County, Michigan",mi,140,0,ACSSF,4271,,,,,26,55,,,,550102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3321,3321,3121,9,72,0,0,49,70,0,0,0,0,0,0,0,0,80096,1443,1164,279
26055550200,14000US26055550200,Census Tract 5502,"Census Tract 5502, Grand Traverse County, Michigan",mi,140,0,ACSSF,4272,,,,,26,55,,,,550200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4507,4443,4300,75,42,10,0,0,16,64,21,0,0,0,0,10,33,69095,1766,1598,168
26055550300,14000US26055550300,Census Tract 5503,"Census Tract 5503, Grand Traverse County, Michigan",mi,140,0,ACSSF,4273,,,,,26,55,,,,550300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6776,6676,6237,144,68,63,11,0,153,100,89,0,0,0,0,11,0,64118,2216,2034,182
26055550400,14000US26055550400,Census Tract 5504,"Census Tract 5504, Grand Traverse County, Michigan",mi,140,0,ACSSF,4274,,,,,26,55,,,,550400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6933,6760,6618,11,23,0,5,0,103,173,40,38,0,0,0,10,85,73472,2523,2345,178
26055550500,14000US26055550500,Census Tract 5505,"Census Tract 5505, Grand Traverse County, Michigan",mi,140,0,ACSSF,4275,,,,,26,55,,,,550500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5923,5473,5144,2,87,175,0,0,65,450,392,0,0,0,0,58,0,50938,2313,1833,480
26055550600,14000US26055550600,Census Tract 5506,"Census Tract 5506, Grand Traverse County, Michigan",mi,140,0,ACSSF,4276,,,,,26,55,,,,550600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10503,10394,9949,51,14,56,0,0,324,109,56,0,0,0,0,53,0,64056,3780,3277,503
26055550700,14000US26055550700,Census Tract 5507,"Census Tract 5507, Grand Traverse County, Michigan",mi,140,0,ACSSF,4277,,,,,26,55,,,,550700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9370,9027,8692,58,158,20,0,0,99,343,343,0,0,0,0,0,0,60417,3886,2955,931
26055550800,14000US26055550800,Census Tract 5508,"Census Tract 5508, Grand Traverse County, Michigan",mi,140,0,ACSSF,4278,,,,,26,55,,,,550800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6291,6087,6042,36,0,9,0,0,0,204,196,0,0,0,0,8,0,76222,2481,2366,115
